SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.555	0	0	0	0	18	0	0	0	0	0	1	0	0	0
ASV.556	0	0	0	0	0	19	0	0	0	0	0	0	0	0
ASV.559	0	0	0	0	0	19	0	0	0	0	0	0	0	0
ASV.561	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV.562	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV.563	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV.565	0	0	0	0	0	0	0	0	0	19	0	0	0	0
ASV.566	0	0	0	0	0	0	0	0	0	19	0	0	0	0
ASV.567	0	0	0	0	0	0	0	0	0	19	0	0	0	0
ASV.571	0	11	0	0	0	0	0	0	0	0	0	7	0	0
ASV.573	0	0	0	18	0	0	0	0	0	0	0	0	0	0
ASV.574	0	0	0	0	0	18	0	0	0	0	0	0	0	0
ASV.576	0	0	0	0	0	7	0	0	0	0	0	0	0	11
ASV.577	0	0	0	0	0	18	0	0	0	0	0	0	0	0
ASV.578	0	0	0	0	0	0	0	18	0	0	0	0	0	0
ASV.580	0	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV.581	0	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV.582	0	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV.583	0	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV.585	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV.589	0	0	0	0	0	0	0	0	0	0	0	0	0	18
